source,page,section,article,category,content
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,3,,khoản 1,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 3 | Điều 4]
cập nhật mức điểm lên hệ thống phần mềm quản lý đào tạo trước thời điểm nộp đơn đề
nghị xét miễn học phần NNCB.
5. Thời gian tiếp nhận đơn đề nghị xét miễn học phần NNCB muộn nhất là 2 tuần
trước khi bắt đầu học kỳ theo Khung kế hoạch năm học.
Điều 4. Lộ trình học tập các học phần ngoại ngữ cơ bản
Lộ trình học tập đối với các học phần NNCB được áp dụng để đảm bảo năng lực
ngoại ngữ của sinh viên được tăng cường dần qua các học kỳ và được quy định như sau:
1. Trong học kỳ 1 và học kỳ 2, Ban Đào tạo xếp lớp học các học phần NNCB cho
sinh viên dựa trên kết quả phân loại trình độ ngoại ngữ đầu vào theo quy định tại Điều 2.
2. Từ học kỳ 3 trở đi, sinh viên tự đăng ký học song hành các học phần NNCB cùng
với các học phần khác trong CTĐT, bảo đảm tiến độ đáp ứng chuẩn ngoại ngữ theo từng"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,3,,khoản 1,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 3 | Điều 2]
sinh viên dựa trên kết quả phân loại trình độ ngoại ngữ đầu vào theo quy định tại Điều 2.
2. Từ học kỳ 3 trở đi, sinh viên tự đăng ký học song hành các học phần NNCB cùng
với các học phần khác trong CTĐT, bảo đảm tiến độ đáp ứng chuẩn ngoại ngữ theo từng
học kỳ quy định tại các Phụ lục tương ứng kèm theo Quy định này.
3. Việc đăng ký học song hành các học phần NNCB tương ứng ở mỗi kỳ kể từ kỳ 3
trở đi (trừ trường hợp đã học hoặc được miễn học phần) là điều kiện bắt buộc để được
đăng ký học tập các học phần khác trong CTĐT.
4. Sinh viên không được phép hủy các học phần NNCB đã đăng ký học song hành,
trừ trường hợp xin rút hoặc chủ động rút toàn bộ đăng ký học tập trong học kỳ.
Điều 5. Yêu cầu về chuẩn ngoại ngữ đầu ra
1. Yêu cầu về chuẩn ngoại ngữ đầu ra được quy định cụ thể cho từng CTĐT tại các
Phụ lục tương ứng kèm theo Quy định này."
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,4,,Điều 6,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 4 | Điều 6]
2. Chứng chỉ tiếng Anh phải đánh giá đầy đủ 4 kỹ năng nghe, nói, đọc, viết; đồng
thời phải được cấp trong vòng 2 năm tính đến thời điểm xét chuẩn ngoại ngữ đầu ra và
còn hiệu lực tại thời điểm xét.
Điều 6. Các trường hợp ngoại lệ
Các trường hợp ngoại lệ sẽ do Ban Đào tạo đề xuất Giám đốc Đại học Bách khoa
Hà Nội xem xét quyết định.
Điều 7. Hiệu lực thi hành
1. Quy định này được áp dụng từ học kỳ 1 năm học 2025-2026 đối với sinh viên đại
học hình thức chính quy và các CTĐT kể từ khóa 70 trở về sau, trừ các quy định sau:
a) Bảng quy đổi tương đương các chứng chỉ ngoại ngữ áp dụng cho toàn bộ sinh
viên các khóa, đối với các chứng chỉ được cấp kể từ ngày Quy định này có hiệu lực;
b) Đối với sinh viên các khóa từ 69 trở về trước, nếu mức quy đổi tương đương
cùng một chứng chỉ ngoại ngữ theo Quy định này khác với mức quy đổi theo quy định"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,4,,Điều 6,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 4]
viên các khóa, đối với các chứng chỉ được cấp kể từ ngày Quy định này có hiệu lực;
b) Đối với sinh viên các khóa từ 69 trở về trước, nếu mức quy đổi tương đương
cùng một chứng chỉ ngoại ngữ theo Quy định này khác với mức quy đổi theo quy định
trước đây thì áp dụng mức quy đổi cao hơn trong hai quy định; mức cao hơn được xác
định theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam.
2. Các quy định hiện hành về ngoại ngữ đối với sinh viên và CTĐT từ khóa 69 trở
về trước (trừ quy định về quy đổi tương đương chứng chỉ) vẫn tiếp tục có hiệu lực thi
hành cho đến thời điểm kết thúc khóa đào tạo."
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,5,,,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 5]
Phụ lục I
DANH MỤC CÁC CHƯƠNG TRÌNH ĐÀO TẠO
VÀ NGOẠI NGỮ CHÍNH YÊU CẦU
(Kèm theo Quyết định số /QĐ-ĐHBK ngày tháng năm 2025
của Giám đốc Đại học Bách khoa Hà Nội)
NGOẠI NGỮ
NHÓM-LOẠI/TÊN CHƯƠNG TRÌNH ĐÀO TẠO
CHÍNH
Các CTĐT chuẩn
- CTĐT Tiếng Trung Khoa học và Công nghệ Tiếng Trung Quốc
- Các CTĐT chuẩn khác Tiếng Anh
Các CTĐT tài năng Tiếng Anh
Các CTĐT Việt-Pháp PFIEV (mã tuyển sinh: EE-EP, TE-EP) Tiếng Pháp
Các CTĐT Elitech tăng cường ngoại ngữ
1. Công nghệ thông tin Global ICT Tiếng Anh
2. Khoa học dữ liệu và Trí tuệ nhân tạo Tiếng Anh
3. An toàn không gian số Tiếng Anh
4. Kỹ thuật điều khiển - Tự động hóa Tiếng Anh
5. Hệ thống điện và năng lượng tái tạo Tiếng Anh
6. Kỹ thuật Điện tử - Viễn thông Tiếng Anh
7. Kỹ thuật Y sinh Tiếng Anh
8. Truyền thông số và kỹ thuật đa phương tiện Tiếng Anh
9. Kỹ thuật Cơ điện tử Tiếng Anh"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,5,,,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 5]
3. An toàn không gian số Tiếng Anh
4. Kỹ thuật điều khiển - Tự động hóa Tiếng Anh
5. Hệ thống điện và năng lượng tái tạo Tiếng Anh
6. Kỹ thuật Điện tử - Viễn thông Tiếng Anh
7. Kỹ thuật Y sinh Tiếng Anh
8. Truyền thông số và kỹ thuật đa phương tiện Tiếng Anh
9. Kỹ thuật Cơ điện tử Tiếng Anh
10. Kỹ thuật Ô tô Tiếng Anh
11. Khoa học và Kỹ thuật Vật liệu Tiếng Anh
12. Kỹ thuật hóa dược Tiếng Anh
13. Kỹ thuật thực phẩm Tiếng Anh
14. Kỹ thuật sinh học Tiếng Anh
15. Phân tích kinh doanh Tiếng Anh
16. Tiếng Anh Chuyên nghiệp Quốc tế (IPE) Tiếng Anh
17. Logistic và Quản lý chuỗi cung ứng Tiếng Anh
18. Hệ thống nhúng thông minh và IoT Tiếng Nhật
19. Công nghệ thông tin Việt-Nhật Tiếng Nhật
20. Công nghệ thông tin Việt-Pháp Tiếng Pháp
Các CTĐT hợp tác/liên kết quốc tế
1. Cơ khí Chế tạo máy (Đại học Griffith, Úc) Tiếng Anh"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,5,,,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 5]
17. Logistic và Quản lý chuỗi cung ứng Tiếng Anh
18. Hệ thống nhúng thông minh và IoT Tiếng Nhật
19. Công nghệ thông tin Việt-Nhật Tiếng Nhật
20. Công nghệ thông tin Việt-Pháp Tiếng Pháp
Các CTĐT hợp tác/liên kết quốc tế
1. Cơ khí Chế tạo máy (Đại học Griffith, Úc) Tiếng Anh
2. Cơ điện tử (ĐH Nagaoka, Nhật Bản) Tiếng Nhật
3. Điện tử - Viễn thông (Đại học Leibniz Hannover, Đức) Tiếng Đức
4. Cơ điện tử (Đại học Leibniz Hannover, Đức) Tiếng Đức
5. Quản trị kinh doanh (Đại học TROY, Mỹ) Tiếng Anh
6. Khoa học Máy tính (Đại học TROY, Mỹ) Tiếng Anh"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,6,,,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 6]
Phụ lục II
BẢNG QUY ĐỔI TƯƠNG ĐƯƠNG CÁC CHỨNG CHỈ TIẾNG ANH
(Kèm theo Quyết định số /QĐ-ĐHBK ngày tháng năm 2025 của Giám đốc Đại học Bách khoa Hà Nội)
1. Bảng 2.1 Bảng quy đổi tương đương các chứng chỉ tiếng Anh
N B L ậc N c N ơ V s N ở CEFR ià b m ể iĐ a r t m ể ik C I E O T )* (t n e m e c a Pl P E T S V A E P S T O I L S S T L E I c im e d a c A PEIC E T P c im e d a c A llik s a u g n iL e g d ir b m a C t n e m s s e s s A h s ilg n E e g d ir b m a C h s ilg n E s t s e T Nghe TO Đ E ọ I c C 4 kỹ N n ó ă i n g Viết iBT T OEFL IT P
Level KET
Bậc 1 A1 120÷220 A1 2.5 10÷29 100÷119 60÷105 60÷110 50÷80 30÷60 12÷16 338÷360
A1 (100÷119)
Bậc
225÷340 3.0 30÷33 120÷126 110÷165 115÷170 90 70÷80 17÷21 361÷399
2.1
Bậc Bậc Level KET
A2 345÷435 A2 34÷38 127÷133 A2 KEY 170÷215 175÷215 100 90÷100 22÷25 400÷429
2 2.2 1 (120÷139)
3.5
Bậc"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,6,,,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 6]
Level KET
Bậc 1 A1 120÷220 A1 2.5 10÷29 100÷119 60÷105 60÷110 50÷80 30÷60 12÷16 338÷360
A1 (100÷119)
Bậc
225÷340 3.0 30÷33 120÷126 110÷165 115÷170 90 70÷80 17÷21 361÷399
2.1
Bậc Bậc Level KET
A2 345÷435 A2 34÷38 127÷133 A2 KEY 170÷215 175÷215 100 90÷100 22÷25 400÷429
2 2.2 1 (120÷139)
3.5
Bậc
440÷545 39÷42 134÷139 220÷270 220÷270 110 110 26÷29 430÷449
2.3
Bậc PET
550÷620 4.0 4.0 43÷48 140÷146 B1 275÷310 275÷310 120 120 30÷37 450÷466
3.1 (140÷146)
Bậc Level Preliminary/
B1 B1
3 2 B1 Business
Bậc 4.5÷ PET
625÷780 4.5÷5.5 49÷58 147÷159 Preliminary 315÷395 315÷380 130÷150 130÷140 38÷45 467÷499
3.2 5.0 (147÷159)
B2 First/B2
5.5÷ Level FCE
Bậc 4 B2 785÷940 6.0÷8.0 B2 59÷75 160÷179 Business 400÷485 385÷450 160÷170 150÷170 46÷93 500÷626
6.5 3 (160÷179)
Vantage
C1
7.0÷ Level Advanced/ CAE"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,6,,,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 6]
Bậc 4.5÷ PET
625÷780 4.5÷5.5 49÷58 147÷159 Preliminary 315÷395 315÷380 130÷150 130÷140 38÷45 467÷499
3.2 5.0 (147÷159)
B2 First/B2
5.5÷ Level FCE
Bậc 4 B2 785÷940 6.0÷8.0 B2 59÷75 160÷179 Business 400÷485 385÷450 160÷170 150÷170 46÷93 500÷626
6.5 3 (160÷179)
Vantage
C1
7.0÷ Level Advanced/ CAE
Bậc 5 C1 945÷990 8.5÷10 C1 76÷84 180÷199 490÷495 455÷495 180÷200 180÷200 94÷114 627÷677
8.0 4 C1 Business (180÷199)
Higher
8.5÷ Level C2 CPE
Bậc 6 C2 C2 85÷90 200÷210 115÷120
9.0 5 Proficiency (200÷230)"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,7,,,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 7]
Ghi chú:
Từ viết tắt:
- NLNNVN: Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam.
- CEFR: Khung tham chiếu ngôn ngữ chung châu Âu (Common European Framework of Reference for Languages).
(*): Điểm bài kiểm tra TOEIC Placement do Đại học Bách khoa Hà Nội phối hợp tổ chức.
2. Điều kiện xét quy đổi tương đương chứng chỉ và miễn học
- Kết quả bài kiểm tra TOEIC Placement do Đại học Bách khoa Hà Nội phối hợp tổ chức chỉ được sử dụng để phân loại trình
độ tiếng Anh cho mục đích xếp lớp và xét miễn học các học phần thuộc khối ngoại ngữ cơ bản, không sử dụng để xét đạt chuẩn ngoại
ngữ đầu ra.
- Các chứng chỉ được quy đổi tương đương chỉ khi dạng thức thi đánh giá đầy đủ 4 kỹ năng nghe, nói, đọc, viết.
- Chứng chỉ tiếng Anh phải được cấp trong vòng 2 năm tính đến thời điểm xét."
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,7,,,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 7]
ngữ đầu ra.
- Các chứng chỉ được quy đổi tương đương chỉ khi dạng thức thi đánh giá đầy đủ 4 kỹ năng nghe, nói, đọc, viết.
- Chứng chỉ tiếng Anh phải được cấp trong vòng 2 năm tính đến thời điểm xét.
- Chứng chỉ TOEIC 4 kỹ năng: quy đổi tương đương sang các chứng chỉ khác dựa theo kỹ năng đạt điểm thấp nhất.
- Không công nhận sử dụng chứng chỉ tiếng Anh TOEFL iBT theo hình thức Home Edition.
- Các trường hợp quy đổi tương đương khác do Ban Đào tạo đề xuất và trình Giám đốc đại học quyết định."
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,8,,,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 8]
Phụ lục III
DANH MỤC CÁC HỌC PHẦN NGOẠI NGỮ CƠ BẢN - ĐIỀU KIỆN MIỄN HỌC - CHUẨN NGOẠI NGỮ ĐẦU RA
ĐỐI VỚI CÁC CTĐT CHUẨN VÀ CTĐT TÀI NĂNG CÓ CHUẨN ĐẦU RA LÀ TIẾNG ANH
(Kèm theo Quyết định số /QĐ-ĐHBK ngày tháng năm 2025 của Giám đốc Đại học Bách khoa Hà Nội)
Bảng 3.1 Danh mục các học phần tiếng Anh thuộc khối ngoại ngữ cơ bản và điều kiện miễn học
Mã học Thời Học phần được miễn và học kỳ xếp lớp học
TT Tên học phần
phần lượng
Nhóm 1 Nhóm 2 Nhóm 3 Nhóm 4 Nhóm 5 Nhóm 6
1 FL1131 Tiếng Anh cơ sở 1 4(2-4-0-8) Kỳ 1 M M M M M
2 FL1132 Tiếng Anh cơ sở 2 4(2-4-0-8) Kỳ 2 Kỳ 1 M M M M
3 FL1133 Tiếng Anh cơ sở 3 4(2-4-0-8) ĐK (Kỳ 3) Kỳ 2 Kỳ 1 M M M
4 FL1134 Tiếng Anh cơ sở 4 4(2-4-0-8) ĐK (Kỳ 4) ĐK (Kỳ 4) Kỳ 2 Kỳ 1 M M
5 FL1135 Tiếng Anh cơ sở 5 4(2-4-0-8) ĐK (Kỳ 5) ĐK (Kỳ 5) ĐK (Kỳ 5) Kỳ 2 Kỳ 2 M"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,8,,,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 8]
2 FL1132 Tiếng Anh cơ sở 2 4(2-4-0-8) Kỳ 2 Kỳ 1 M M M M
3 FL1133 Tiếng Anh cơ sở 3 4(2-4-0-8) ĐK (Kỳ 3) Kỳ 2 Kỳ 1 M M M
4 FL1134 Tiếng Anh cơ sở 4 4(2-4-0-8) ĐK (Kỳ 4) ĐK (Kỳ 4) Kỳ 2 Kỳ 1 M M
5 FL1135 Tiếng Anh cơ sở 5 4(2-4-0-8) ĐK (Kỳ 5) ĐK (Kỳ 5) ĐK (Kỳ 5) Kỳ 2 Kỳ 2 M
Ghi chú: Nhóm 1: Không tham gia đánh giá phân loại tiếng Anh đầu vào hoặc đạt trình độ dưới Bậc 1
Nhóm 2: Đạt trình độ Bậc 1 trở lên Kỳ 1: Được xếp học ở kỳ 1
Nhóm 3: Đạt trình độ Bậc 2.1 trở lên Kỳ 2: Được xếp học ở kỳ 2
Nhóm 4: Đạt trình độ Bậc 2.2 trở lên M: Được miễn học (ghi điểm R)
Nhóm 5: Đạt trình độ Bậc 2.3 trở lên
Nhóm 6: Đạt trình độ Bậc 3 trở lên
ĐK: Sinh viên tự đăng ký học song hành với các học phần của CTĐT tại kỳ tương ứng (trong Bảng 3.1) nếu
chưa học hoặc chưa được miễn.
Bậc trình độ dựa trên quy định tại Bảng 2.1 của Phụ lục II."
